figure,run_id,model,initial_batch_size,learning_rate,role,final_tokens,final_steps,final_validation_loss,git_commit,alpha,beta
figure_1,nj1u496n,150M,128,0.003,Cosine,3300130816,25178,3.028235673904419,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,gey9bxyb,150M,128,0.003,Seesaw,3300887552,15524,3.020843029022217,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,o9ta07dz,150M,256,0.003,Cosine,3300130816,12589,3.0353991985321045,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,0nfs2729,150M,256,0.003,Seesaw,3300596736,7756,3.0346972942352295,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,rf3zo4ho,150M,512,0.003,Cosine,3300392960,6295,3.0696167945861816,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,s2bflp18,150M,512,0.003,Seesaw,3302964224,3877,3.0687718391418457,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,0je08kka,300M,128,0.001,Cosine,6600130560,50355,2.8531134128570557,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,q2hwivdd,300M,128,0.001,Seesaw,6600698880,31046,2.845271348953247,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,cj8la1js,300M,256,0.01,Cosine,6600261632,25178,2.859198570251465,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,7g7lspre,300M,256,0.01,Seesaw,6600976384,15511,2.8561418056488037,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,fvo5de7y,300M,512,0.01,Cosine,6600261632,12589,2.869619131088257,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,5sfqf25c,300M,512,0.01,Seesaw,6602585088,7752,2.8700764179229736,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,45utyeri,600M,256,0.001,Cosine,13200261120,50355,2.6904826164245605,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,i06xrhuh,600M,256,0.001,Seesaw,13201693696,31021,2.6883866786956787,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,bggg23u7,600M,512,0.01,Cosine,13200523264,25178,2.698821783065796,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,t70htnmz,600M,512,0.01,Seesaw,13201325056,15502,2.6944000720977783,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,adu2ojzw,600M,1024,0.01,Cosine,13200523264,12589,2.7128663063049316,ff609819f24df19ac9b943f96ff5f4ea586534ca,,
figure_1,78krwbnn,600M,1024,0.01,Seesaw,13207758848,7751,2.7132105827331543,da0730ea80218444c535d59aa4e5ffeb9fd397aa,,
figure_2,w35we2zg,150M,256,0.003,equivalence_variant,3300130816,12589,3.029432773590088,ff609819f24df19ac9b943f96ff5f4ea586534ca,2.0,1.0
figure_2,ugacb25y,150M,256,0.003,equivalence_variant,3300396032,10245,3.0286943912506104,ff609819f24df19ac9b943f96ff5f4ea586534ca,1.681792830507429,1.4142135623730951
figure_2,t9mhqmox,150M,256,0.003,equivalence_variant,3300917248,9049,3.0295968055725098,ff609819f24df19ac9b943f96ff5f4ea586534ca,1.4142135623730951,2.0
figure_2,2bjwbc29,150M,256,0.003,equivalence_variant,3305700352,8398,3.0307822227478027,ff609819f24df19ac9b943f96ff5f4ea586534ca,1.189207115002721,2.8284271247461903
figure_2,q02bqkw0,150M,256,0.003,equivalence_variant,3302490112,8017,3.036832809448242,ff609819f24df19ac9b943f96ff5f4ea586534ca,1.0,4.0
figure_2,n9ov4q1j,150M,512,0.003,equivalence_variant,3300392960,6295,3.0534090995788574,ff609819f24df19ac9b943f96ff5f4ea586534ca,2.0,1.0
